spectral_radius,input_scale,leaking_rate,ridge_alpha,connectivity,mean_T_VPT,std_dev
0.9,0.4,0.7,1e-06,0.04,10.010000000000002,1.1022068771333222
0.9,0.4,0.7,1e-06,0.06,9.916000000000006,1.4133732698760075
0.9,0.4,0.7,1e-06,0.08,9.423000000000002,1.2231643389177078
0.9,0.4,0.7,1e-06,0.1,9.820000000000004,1.626862010128702
0.9,0.4,0.7,1e-07,0.02,9.957000000000003,0.8843364744258839
0.9,0.4,0.7,1e-07,0.04,10.663000000000002,1.1810889043590227
0.9,0.4,0.7,1e-07,0.06,10.360000000000007,1.0674080756674105
0.9,0.4,0.7,1e-07,0.08,10.272000000000004,0.9990675652827494
0.9,0.4,0.7,1e-07,0.1,10.517000000000005,1.0930375107927457
0.9,0.6,0.3,1e-06,0.02,8.653000000000006,2.034849134456904
0.9,0.6,0.3,1e-06,0.04,9.428000000000003,1.6425394972420018
0.9,0.6,0.3,1e-06,0.06,8.264000000000005,1.1863658794823775
0.9,0.6,0.3,1e-06,0.08,9.687000000000001,1.6084685262696328
0.9,0.6,0.3,1e-06,0.1,9.039000000000005,1.162023665851946
0.9,0.6,0.3,1e-07,0.02,9.660000000000005,1.4163050518867726
0.9,0.6,0.3,1e-07,0.04,10.463000000000005,1.4411283773488042
0.9,0.6,0.3,1e-07,0.06,9.302000000000003,1.7007751174097085
0.9,0.6,0.3,1e-07,0.08,10.672000000000008,1.2767834585394626
0.9,0.6,0.3,1e-07,0.1,9.647000000000004,1.587668416263295
0.9,0.6,0.4,1e-06,0.02,8.857000000000003,1.8168134191490366
0.9,0.6,0.4,1e-06,0.04,9.567000000000002,1.1751812626144131
0.9,0.6,0.4,1e-06,0.06,8.693000000000001,1.505579954701844
0.9,0.6,0.4,1e-06,0.08,10.200000000000005,1.5227081138550476
0.9,0.6,0.4,1e-06,0.1,9.022000000000002,1.6845759110233047
0.9,0.6,0.4,1e-07,0.02,9.768000000000004,1.3604028815023865
0.9,0.6,0.4,1e-07,0.04,9.992000000000004,1.477584515349291
0.9,0.6,0.4,1e-07,0.06,10.002000000000006,1.0520437253270416
0.9,0.6,0.4,1e-07,0.08,9.910000000000007,1.2619904912478512
0.9,0.6,0.4,1e-07,0.1,9.614,1.8527935664827873
0.9,0.6,0.5,1e-06,0.02,8.864000000000003,1.5508139798183393
0.9,0.6,0.5,1e-06,0.04,8.228000000000005,2.0291712594061635
0.9,0.6,0.5,1e-06,0.06,8.876000000000003,1.1456107541394682
0.9,0.6,0.5,1e-06,0.08,9.508000000000003,1.3147227844682707
0.9,0.6,0.5,1e-06,0.1,8.521000000000003,1.4306848010655617
0.9,0.6,0.5,1e-07,0.02,9.290000000000006,1.628269019541923
0.9,0.6,0.5,1e-07,0.04,9.290000000000003,1.1799745759972948
0.9,0.6,0.5,1e-07,0.06,9.555000000000005,1.7902164673580685
0.9,0.6,0.5,1e-07,0.08,10.079000000000006,1.7351365940467027
0.9,0.6,0.5,1e-07,0.1,9.548000000000005,1.531514283315701
0.9,0.6,0.6,1e-06,0.02,7.928000000000004,2.127781943715097
0.9,0.6,0.6,1e-06,0.04,7.681000000000006,2.1918802430789905
0.9,0.6,0.6,1e-06,0.06,8.811000000000003,1.8583915088053948
0.9,0.6,0.6,1e-06,0.08,8.418000000000003,1.9329759439786087
0.9,0.6,0.6,1e-06,0.1,8.539000000000005,1.4543517456241473
0.9,0.6,0.6,1e-07,0.02,8.362000000000005,2.140821337711302
0.9,0.6,0.6,1e-07,0.04,8.771000000000006,2.0799564899295384
0.9,0.6,0.6,1e-07,0.06,9.103000000000005,2.5934554170064303
0.9,0.6,0.6,1e-07,0.08,8.822000000000006,1.6985040476843145
0.9,0.6,0.6,1e-07,0.1,9.612000000000004,1.1179516984199271
0.9,0.6,0.7,1e-06,0.02,7.169000000000004,1.5764323645497764
0.9,0.6,0.7,1e-06,0.04,7.179000000000002,1.5861963938932635
0.9,0.6,0.7,1e-06,0.06,7.585000000000005,2.41181155980313
0.9,0.6,0.7,1e-06,0.08,8.070000000000004,2.2533752461585266
0.9,0.6,0.7,1e-06,0.1,7.734000000000004,2.3350468946040475
0.9,0.6,0.7,1e-07,0.02,8.266000000000004,1.956027607167139
0.9,0.6,0.7,1e-07,0.04,8.710000000000003,1.8133560047602337
0.9,0.6,0.7,1e-07,0.06,7.808000000000007,2.3081889004152165
0.9,0.6,0.7,1e-07,0.08,8.351000000000004,2.214249082646301
0.9,0.6,0.7,1e-07,0.1,8.311000000000007,2.798660215174397
0.9,0.8,0.3,1e-06,0.02,7.615000000000005,2.057045210976172
0.9,0.8,0.3,1e-06,0.04,7.533000000000004,1.9255780950145847
0.9,0.8,0.3,1e-06,0.06,7.957000000000006,1.7190727151577991
0.9,0.8,0.3,1e-06,0.08,8.327000000000002,1.9913540619387597
0.9,0.8,0.3,1e-06,0.1,8.442000000000004,1.9123378362622006
0.9,0.8,0.3,1e-07,0.02,8.046000000000003,2.838281874655862
0.9,0.8,0.3,1e-07,0.04,7.477000000000004,2.6033768455603963
0.9,0.8,0.3,1e-07,0.06,8.546000000000003,2.8428865612261087
0.9,0.8,0.3,1e-07,0.08,8.167000000000003,2.318061905989573
