tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.45,"[0.5, 0.7]","[0.3, 0.1, 0.1]",4.063555555555556,1.371904038684202,"{'200': 0.6304375874126019, '400': 5.5336006203746155, '600': 6.660315641917798, '800': 7.650069246120024, '1000': 8.34835211814735}","{'200': 0.6079362607425984, '400': 26.717006327834202, '600': 31.8574154279629, '800': 37.3749133383165, '1000': 41.239015042010884}"
0.01,0.45,"[0.5, 0.9]","[0.3, 0.1, 0.1]",4.517333333333334,1.8796434650102007,"{'200': 0.5137232178807621, '400': 1.4164264174123682, '600': 4.480036084532961, '800': 10.094470942409856, '1000': 12.316251458352337}","{'200': 0.45824693317717025, '400': 0.6033527880700004, '600': 15.518115834180138, '800': 31.36963278194376, '1000': 39.247444215436104}"
0.01,0.45,"[0.7, 0.1]","[0.3, 0.1, 0.1]",3.443111111111112,1.2386656301076076,"{'200': 0.7197214912518664, '400': 1.7119457829527542, '600': 2.541684835408918, '800': 2.670198613699221, '1000': 4.811017616193147}","{'200': 0.5118675204966784, '400': 0.8957255307909217, '600': 3.550758617045109, '800': 3.5538279746443484, '1000': 12.436072771417544}"
0.01,0.45,"[0.7, 0.3]","[0.3, 0.1, 0.1]",4.056,1.5479913867116104,"{'200': 0.5687151417904777, '400': 1.4361195175286559, '600': 1.803336930638683, '800': 1.9866833776151605, '1000': 2.1686239799085985}","{'200': 0.5127098893380364, '400': 0.5859822336336822, '600': 0.37850604030402296, '800': 0.32647641829374424, '1000': 0.5140010863215123}"
0.01,0.45,"[0.7, 0.5]","[0.3, 0.1, 0.1]",4.09111111111111,1.5127755539217342,"{'200': 0.48559360609669533, '400': 1.5026254841655462, '600': 1.850442403799355, '800': 2.0652156868360945, '1000': 2.210053329025974}","{'200': 0.442041927082319, '400': 0.5284056204928205, '600': 0.35016409482268346, '800': 0.31774291532521154, '1000': 0.5466108496932914}"
0.01,0.45,"[0.7, 0.7]","[0.3, 0.1, 0.1]",4.066222222222224,1.487798207477358,"{'200': 0.6132992841369783, '400': 1.7374837849015525, '600': 3.0774726363929723, '800': 6.205706492453315, '1000': 7.229097442956044}","{'200': 0.5231134011699203, '400': 1.0185473826326525, '600': 5.380798385022602, '800': 19.83370204221817, '1000': 25.080416332079523}"
0.01,0.45,"[0.7, 0.9]","[0.3, 0.1, 0.1]",3.90088888888889,1.355921699185092,"{'200': 0.5847601521033158, '400': 1.5702302848935557, '600': 3.3982771536482934, '800': 5.217123137743406, '1000': 6.3561716854384445}","{'200': 0.4825910096034495, '400': 0.593290231171781, '600': 9.131730897718727, '800': 17.469528413623845, '1000': 21.5077788680869}"
0.01,0.45,"[0.9, 0.1]","[0.3, 0.1, 0.1]",3.5480000000000014,1.4980900432810365,"{'200': 0.7745704161163551, '400': 1.6254992020871497, '600': 1.9262179715246601, '800': 2.075616744910498, '1000': 2.179027305416485}","{'200': 0.510598915628512, '400': 0.5144494709733, '600': 0.35279282883918806, '800': 0.3090016220852228, '1000': 0.28700867951739334}"
0.01,0.45,"[0.9, 0.3]","[0.3, 0.1, 0.1]",3.896000000000001,1.264901225831927,"{'200': 0.6271439892854794, '400': 2.403761347307095, '600': 2.8558546516647394, '800': 5.436721422378468, '1000': 9.672591369746735}","{'200': 0.5576504208922486, '400': 5.908919076366753, '600': 5.794832577154977, '800': 14.352443373026649, '1000': 32.91375938057511}"
0.01,0.45,"[0.9, 0.5]","[0.3, 0.1, 0.1]",4.2297777777777785,1.5196234751321924,"{'200': 0.6431233965852369, '400': 2.389632783548113, '600': 5.063956571595306, '800': 7.915803677339037, '1000': 9.037879268679703}","{'200': 0.6022764379652656, '400': 5.516636916962975, '600': 17.78341807120479, '800': 25.81461701377433, '1000': 29.326260985899935}"
0.01,0.45,"[0.9, 0.7]","[0.3, 0.1, 0.1]",4.076444444444446,1.2663037296803914,"{'200': 0.6493376724365526, '400': 1.5606025190371182, '600': 1.8684597992377474, '800': 2.01759282039612, '1000': 2.7961603729939424}","{'200': 0.5647590934629367, '400': 0.5297868982381582, '600': 0.3451111664263979, '800': 0.2937392234977474, '1000': 4.343924563548324}"
0.01,0.45,"[0.9, 0.9]","[0.3, 0.1, 0.1]",4.164000000000001,1.3205022613468795,"{'200': 0.5782699316635797, '400': 5.311045579980294, '600': 9.281976964790845, '800': 10.488252836630663, '1000': 11.416434281179946}","{'200': 0.5280332350708294, '400': 18.557789996314877, '600': 28.825610263476364, '800': 31.331314173766152, '1000': 32.716004479202354}"
0.01,0.7,"[0.1, 0.1]","[0.3, 0.1, 0.1]",3.5000000000000013,0.9998222064169436,"{'200': 0.8941743482784433, '400': 2.110161583267736, '600': 2.5037043039750784, '800': 4.9476804612507825, '1000': 8.699295636554416}","{'200': 0.6256113138819858, '400': 2.1651232865802514, '600': 2.4867294327161713, '800': 7.167099517846319, '1000': 16.151666372133054}"
0.01,0.7,"[0.1, 0.3]","[0.3, 0.1, 0.1]",3.694222222222223,1.3322036695955886,"{'200': 0.8231786203776982, '400': 1.7680845469072533, '600': 2.967250559423399, '800': 5.901365640089167, '1000': 7.07208752998893}","{'200': 0.5809901852351282, '400': 0.5147192227300967, '600': 4.489090643386799, '800': 14.754916789479614, '1000': 19.781847336198634}"
0.01,0.7,"[0.1, 0.5]","[0.3, 0.1, 0.1]",3.859555555555556,1.5835964069948232,"{'200': 0.8075723597435717, '400': 1.7383363556354605, '600': 2.114002499184469, '800': 3.413865466382475, '1000': 5.921990468299008}","{'200': 0.5977970344072999, '400': 0.5482335324547447, '600': 0.9719737964381403, '800': 8.192917775043425, '1000': 13.376091381096048}"
0.01,0.7,"[0.1, 0.7]","[0.3, 0.1, 0.1]",3.838222222222222,1.3826468801041454,"{'200': 0.7707984225317108, '400': 1.7203456449348857, '600': 4.301439607513118, '800': 7.693037832112997, '1000': 9.65132003429654}","{'200': 0.5590986181570098, '400': 0.5128538654472198, '600': 10.482012907465531, '800': 20.296142446303108, '1000': 24.733940214931632}"
0.01,0.7,"[0.1, 0.9]","[0.3, 0.1, 0.1]",4.022666666666668,1.5839955106558152,"{'200': 0.6573718561614852, '400': 1.5763212504900646, '600': 1.938507090789303, '800': 2.346510370743399, '1000': 2.5318535976537526}","{'200': 0.4871178388072725, '400': 0.627758975873927, '600': 0.5281330234727908, '800': 1.7941773520302557, '1000': 2.342840342670086}"
0.01,0.7,"[0.3, 0.1]","[0.3, 0.1, 0.1]",3.4528888888888902,1.0231468282210356,"{'200': 0.7752405201615441, '400': 2.4125238339799018, '600': 3.830159975667697, '800': 6.515649788680323, '1000': 8.4229288154958}","{'200': 0.5545276538658782, '400': 4.350543202447882, '600': 8.84014386859309, '800': 13.960030759891362, '1000': 20.175219875385675}"
0.01,0.7,"[0.3, 0.3]","[0.3, 0.1, 0.1]",4.134666666666667,1.808613465245316,"{'200': 0.590833443126486, '400': 1.5193879713283565, '600': 1.8966735728626183, '800': 4.8252037745687595, '1000': 6.623910773572389}","{'200': 0.5545762029194821, '400': 0.6431306140104468, '600': 0.5349099047038325, '800': 13.212784426700692, '1000': 17.5076109150373}"
0.01,0.7,"[0.3, 0.5]","[0.3, 0.1, 0.1]",4.283555555555557,1.5246786992027108,"{'200': 0.5443591661190229, '400': 1.401624861437331, '600': 1.7638742991204923, '800': 4.509465710806023, '1000': 6.441321874824902}","{'200': 0.5017477262039822, '400': 0.5843989489209689, '600': 0.37377091133960344, '800': 12.421754440198166, '1000': 17.564437672847713}"
0.01,0.7,"[0.3, 0.7]","[0.3, 0.1, 0.1]",3.9253333333333353,1.305185555135105,"{'200': 0.6507702123464509, '400': 1.5965403561142175, '600': 2.5398215582570294, '800': 3.6539148773321664, '1000': 3.6240910729967113}","{'200': 0.5321418593684678, '400': 0.5768631371393129, '600': 4.114769909325106, '800': 10.525111623346328, '1000': 9.690287935932576}"
0.01,0.7,"[0.3, 0.9]","[0.3, 0.1, 0.1]",4.463111111111113,1.7156998212225842,"{'200': 0.518579925012216, '400': 1.4272353050645434, '600': 1.854936832224642, '800': 2.4010182817299293, '1000': 4.188924451421223}","{'200': 0.5250295574313412, '400': 0.6161634090817336, '600': 0.4416146952714589, '800': 2.3285199947775452, '1000': 10.361234245087497}"
