reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.02,7,0.01,8.7054,1.7848733400440493
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.04,3,0.005,9.018600000000001,1.3999594422696677
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.04,3,0.01,8.623199999999999,1.2895584360547603
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.04,5,0.005,9.465,1.4712148041669508
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.04,5,0.01,9.3228,1.7416891111791444
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.04,7,0.005,9.826200000000004,1.208275614253635
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.04,7,0.01,9.5454,1.2379163299674176
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.06,3,0.005,9.231600000000002,1.73879585920832
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.06,3,0.01,9.375,1.4912510854983474
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.06,5,0.005,9.6072,2.0364565696326546
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.06,5,0.01,9.2796,1.2382528982400967
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.06,7,0.005,8.958,1.2314274643680805
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.1,0.06,7,0.01,9.153,1.4303130426588435
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.02,3,0.005,9.435,1.5572936139341222
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.02,3,0.01,9.408600000000002,1.6049443728677952
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.02,5,0.005,8.9076,1.2485802497236607
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.02,5,0.01,9.060599999999999,1.713454300528613
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.02,7,0.005,8.763000000000002,1.6691612863950565
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.02,7,0.01,9.2052,1.344650199866121
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.04,3,0.005,9.275400000000001,1.34851238036586
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.04,3,0.01,9.946800000000001,1.7819430293923542
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.04,5,0.005,9.010800000000001,1.6973825025609286
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.04,5,0.01,9.129,1.6433193846602074
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.04,7,0.005,7.783199999999999,2.7240711003936733
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.04,7,0.01,9.120000000000001,1.5107947577351464
