input_scale,leaking_rate,ridge_alpha,cycle_weight,connect_weight,combine_factor,mean_T_VPT,std_dev
0.1,0.5,1e-07,0.6,1.0,0.7,10.680000000000003,0.9163187218430034
0.1,0.5,1e-07,0.8,0.6,0.3,10.502000000000006,1.4061137934036487
0.1,0.5,1e-07,0.8,0.6,0.4,10.539000000000007,1.4016486721001113
0.1,0.5,1e-07,0.8,0.6,0.5,10.607000000000003,1.5609007015181964
0.1,0.5,1e-07,0.8,0.6,0.6,10.583000000000006,1.4455210133374055
0.1,0.5,1e-07,0.8,0.6,0.7,10.643000000000004,1.5417817614695015
0.1,0.5,1e-07,0.8,0.8,0.3,10.819000000000006,1.5616590536989832
0.1,0.5,1e-07,0.8,0.8,0.4,10.647000000000004,1.4207219995481173
0.1,0.5,1e-07,0.8,0.8,0.5,10.519000000000004,1.3518650080536876
0.1,0.5,1e-07,0.8,0.8,0.6,10.448000000000004,1.290850882170361
0.1,0.5,1e-07,0.8,0.8,0.7,10.520000000000007,1.3110758940656342
0.1,0.5,1e-07,0.8,1.0,0.3,10.772000000000004,1.4541994361159694
0.1,0.5,1e-07,0.8,1.0,0.4,10.713000000000005,1.4404898472394745
0.1,0.5,1e-07,0.8,1.0,0.5,10.381000000000004,1.170273045062564
0.1,0.5,1e-07,0.8,1.0,0.6,10.306000000000004,1.0658536484902617
0.1,0.5,1e-07,0.8,1.0,0.7,10.454000000000006,1.2143492084240004
0.1,0.5,1e-07,1.0,0.6,0.3,4.4570000000000025,1.5327527524033357
0.1,0.5,1e-07,1.0,0.6,0.4,4.823000000000003,1.377349265800074
0.1,0.5,1e-07,1.0,0.6,0.5,5.078000000000005,0.9534757469385352
0.1,0.5,1e-07,1.0,0.6,0.6,5.402000000000004,0.759128447629255
0.1,0.5,1e-07,1.0,0.6,0.7,5.905000000000003,2.1252658657212735
0.1,0.5,1e-07,1.0,0.8,0.3,4.388000000000003,1.6300846603781043
0.1,0.5,1e-07,1.0,0.8,0.4,4.948000000000005,1.1721160352115312
0.1,0.5,1e-07,1.0,0.8,0.5,5.437000000000002,1.4457147021456205
0.1,0.5,1e-07,1.0,0.8,0.6,5.829000000000003,1.4069466940861683
0.1,0.5,1e-07,1.0,0.8,0.7,5.690000000000005,0.8796249200653615
0.1,0.5,1e-07,1.0,1.0,0.3,4.167000000000002,1.101295146634183
0.1,0.5,1e-07,1.0,1.0,0.4,4.9060000000000015,1.1489490850337996
0.1,0.5,1e-07,1.0,1.0,0.5,5.358000000000006,1.6610586985413835
0.1,0.5,1e-07,1.0,1.0,0.6,5.834000000000001,1.8154459507239538
0.1,0.5,1e-07,1.0,1.0,0.7,5.7260000000000035,1.0182160870856416
0.1,0.6,1e-06,0.6,0.6,0.3,9.636000000000005,1.2995014428618366
0.1,0.6,1e-06,0.6,0.6,0.4,9.453000000000005,1.0880124080174849
0.1,0.6,1e-06,0.6,0.6,0.5,9.592,1.1965182823509213
0.1,0.6,1e-06,0.6,0.6,0.6,9.554000000000006,1.000701753770821
0.1,0.6,1e-06,0.6,0.6,0.7,9.713000000000003,0.8750605693322012
0.1,0.6,1e-06,0.6,0.8,0.3,9.593000000000004,1.1751812626144098
0.1,0.6,1e-06,0.6,0.8,0.4,9.560000000000002,1.4413604684463905
0.1,0.6,1e-06,0.6,0.8,0.5,9.562000000000006,1.3295397699956164
0.1,0.6,1e-06,0.6,0.8,0.6,9.549000000000005,0.9889686547105505
0.1,0.6,1e-06,0.6,0.8,0.7,9.637000000000004,0.8537277083473372
0.1,0.6,1e-06,0.6,1.0,0.3,9.596000000000002,1.125888093906318
