spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.1,0.9,1e-07,0.5,61.33201767252491,43.399258967274704
0.92,0.1,0.9,1e-07,0.7,74.61619151754361,61.88755378260601
0.92,0.1,0.9,1e-07,0.9,47.89049790649917,47.30665848812117
0.92,0.1,1.0,1e-07,0.1,42.06425402921122,27.584854137079635
0.92,0.1,1.0,1e-07,0.3,66.79201002746885,55.41282083834395
0.92,0.1,1.0,1e-07,0.5,50.49515072316897,34.88788126956579
0.92,0.1,1.0,1e-07,0.7,57.40281444737801,47.747418470339895
0.92,0.1,1.0,1e-07,0.9,33.719586455805356,31.24458399157607
0.92,0.2,0.1,1e-07,0.1,43.35235707745508,44.800213960908266
0.92,0.2,0.1,1e-07,0.3,40.451680578890745,23.263653318580438
0.92,0.2,0.1,1e-07,0.5,49.60885759749669,26.35849391659453
0.92,0.2,0.1,1e-07,0.7,53.77185730413988,36.52824407911734
0.92,0.2,0.1,1e-07,0.9,49.56707647722929,26.212118447462856
0.92,0.2,0.2,1e-07,0.1,77.92312273870797,53.69988603625802
0.92,0.2,0.2,1e-07,0.3,56.795654763492195,42.67481904648396
0.92,0.2,0.2,1e-07,0.5,60.29282342587406,44.25314447326562
0.92,0.2,0.2,1e-07,0.7,69.15664364260252,49.347599982078094
0.92,0.2,0.2,1e-07,0.9,70.7256580526442,40.73064830739602
0.92,0.2,0.3,1e-07,0.1,69.16153292263381,51.17857275138166
0.92,0.2,0.3,1e-07,0.3,50.09467424060592,33.760086856358335
0.92,0.2,0.3,1e-07,0.5,66.71200362695683,49.9659911902227
0.92,0.2,0.3,1e-07,0.7,87.00384919682462,62.28991227153962
0.92,0.2,0.3,1e-07,0.9,97.72959614546939,59.85097058985051
0.92,0.2,0.4,1e-07,0.1,63.93089224915771,46.20420285047352
0.92,0.2,0.4,1e-07,0.3,73.99080815354117,48.913790706966395
0.92,0.2,0.4,1e-07,0.5,89.91074841542878,67.02373487401898
0.92,0.2,0.4,1e-07,0.7,93.33902267736974,53.166151843461904
0.92,0.2,0.4,1e-07,0.9,113.14327368411696,59.93774194020406
0.92,0.2,0.5,1e-07,0.1,64.73317865429233,49.41759819910317
0.92,0.2,0.5,1e-07,0.3,77.74666417757865,54.60409197157311
0.92,0.2,0.5,1e-07,0.5,86.12555671120357,59.62997616433488
0.92,0.2,0.5,1e-07,0.7,92.93187899476402,54.044525040184894
0.92,0.2,0.5,1e-07,0.9,89.98719897591808,50.21185980669314
0.92,0.2,0.6,1e-07,0.1,55.29509027388858,32.108479134541504
0.92,0.2,0.6,1e-07,0.3,76.24121040794373,46.084465908778775
