spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,20,0.6,1e-07,0.9,4.191446426825257,1.3217784572223392
0.92,20,0.7,1e-07,0.1,2.942013138828884,0.9283158259935268
0.92,20,0.7,1e-07,0.3,3.6874061035993995,1.0084735074690625
0.92,20,0.7,1e-07,0.5,3.7389657839293813,0.9441791068011599
0.92,20,0.7,1e-07,0.7,4.173222746708626,1.0325265682610938
0.92,20,0.7,1e-07,0.9,4.2945657874852206,1.2976339240684207
0.92,20,0.8,1e-07,0.1,3.1366953800748507,1.0499795604842446
0.92,20,0.8,1e-07,0.3,3.6505142633632923,0.9451787571465172
0.92,20,0.8,1e-07,0.5,3.974540185437058,0.9925902275093759
0.92,20,0.8,1e-07,0.7,4.308344667573407,1.0526442652515375
0.92,20,0.8,1e-07,0.9,4.341680667786756,1.0376391140299077
0.92,20,0.9,1e-07,0.1,3.244259540763262,1.2300765450440563
0.92,20,0.9,1e-07,0.3,3.6998515436790504,0.8727513976660025
0.92,20,0.9,1e-07,0.5,4.219893147007317,1.1242211193495204
0.92,20,0.9,1e-07,0.7,4.450133788480858,0.9374625935612472
0.92,20,0.9,1e-07,0.9,4.429243228347157,0.936047870672097
0.92,20,1.0,1e-07,0.1,3.3807149016365763,1.1226938429673134
0.92,20,1.0,1e-07,0.3,3.915424345058716,0.8986154570227185
0.92,20,1.0,1e-07,0.5,4.3950182681281165,1.1162446053689554
0.92,20,1.0,1e-07,0.7,4.604812829470803,1.1040358972219275
0.92,20,1.0,1e-07,0.9,4.545252509089617,0.94859197337439
0.95,5,0.1,1e-07,0.1,1.1720937675014016,0.6487209624207623
0.95,5,0.1,1e-07,0.3,0.22712928145362857,0.09653917390335928
0.95,5,0.1,1e-07,0.5,0.4853721631063831,0.1978440358249181
0.95,5,0.1,1e-07,0.7,0.7525046448160305,0.5438292302961668
0.95,5,0.1,1e-07,0.9,1.2320985678854317,0.7350073248605354
0.95,5,0.2,1e-07,0.1,1.9419331324283733,0.637878206043812
