spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,10,0.8,1e-07,0.9,115.65903050021781,69.18059875703467
0.92,10,0.9,1e-07,0.1,54.399463068156564,47.14956987529995
0.92,10,0.9,1e-07,0.3,89.35381497186442,55.168667136468464
0.92,10,0.9,1e-07,0.5,96.2957036562925,56.8852606773405
0.92,10,0.9,1e-07,0.7,88.54841720670987,49.95954845624488
0.92,10,0.9,1e-07,0.9,95.97390013423295,57.61086714392935
0.92,10,1.0,1e-07,0.1,48.70122943168788,42.15392883626887
0.92,10,1.0,1e-07,0.3,83.57513045488082,53.995688263820355
0.92,10,1.0,1e-07,0.5,81.82032340365005,46.69364071897071
0.92,10,1.0,1e-07,0.7,88.6444248873243,57.107768080359804
0.92,10,1.0,1e-07,0.9,86.12155639117795,56.78289991714209
0.92,15,0.1,1e-07,0.1,28.00001777920011,30.543268516835184
0.92,15,0.1,1e-07,0.3,52.38019041523322,23.001361108731764
0.92,15,0.1,1e-07,0.5,56.35473060067029,28.66138419577034
0.92,15,0.1,1e-07,0.7,65.1069863366847,41.55610042359103
0.92,15,0.1,1e-07,0.9,57.817958770034934,32.6069466447378
0.92,15,0.2,1e-07,0.1,74.60019023744121,64.1249371094249
0.92,15,0.2,1e-07,0.3,91.21707514378926,49.312253520138555
0.92,15,0.2,1e-07,0.5,88.38218168564597,51.811842385865624
0.92,15,0.2,1e-07,0.7,78.39738290174324,36.99106345218026
0.92,15,0.2,1e-07,0.9,87.24697975838065,48.97205506930118
0.92,15,0.3,1e-07,0.1,79.2925656274724,57.347289780865324
0.92,15,0.3,1e-07,0.3,81.30917140037869,35.48935003751017
0.92,15,0.3,1e-07,0.5,92.54340347227777,50.83647943023288
0.92,15,0.3,1e-07,0.7,101.90192993217237,56.63889850635963
0.92,15,0.3,1e-07,0.9,117.19381995004048,67.00392824441279
0.92,15,0.4,1e-07,0.1,59.27763109937684,35.50627411504594
0.92,15,0.4,1e-07,0.3,96.69262429883278,55.0445239034402
0.92,15,0.4,1e-07,0.5,104.79104995066271,57.43482725809197
0.92,15,0.4,1e-07,0.7,117.54407019228205,63.77759093260367
0.92,15,0.4,1e-07,0.9,109.53320710101251,59.63390928537006
0.92,15,0.5,1e-07,0.1,63.67442728751634,44.597060583617655
0.92,15,0.5,1e-07,0.3,96.25525597603362,53.13044841580092
0.92,15,0.5,1e-07,0.5,105.75957187686126,57.14109637250502
0.92,15,0.5,1e-07,0.7,99.35194815585245,51.21195913085804
0.92,15,0.5,1e-07,0.9,95.01426780809132,46.441743051415024
0.92,15,0.6,1e-07,0.1,67.36450027113278,52.11563490417048
0.92,15,0.6,1e-07,0.3,88.60886648709673,37.34731421954399
0.92,15,0.6,1e-07,0.5,117.23649003031353,61.507483097104235
0.92,15,0.6,1e-07,0.7,106.04181667866764,55.818628248868464
0.92,15,0.6,1e-07,0.9,94.92137148749678,47.254222653855535
0.92,15,0.7,1e-07,0.1,67.23248971028794,38.60171013997615
0.92,15,0.7,1e-07,0.3,96.84819229982841,51.445047769021365
0.92,15,0.7,1e-07,0.5,114.77584873456543,59.79154692760069
0.92,15,0.7,1e-07,0.7,103.5651741028171,54.11541085914407
0.92,15,0.7,1e-07,0.9,106.39384484092061,57.33988380825276
0.92,15,0.8,1e-07,0.1,76.83103537171863,53.778072498683194
0.92,15,0.8,1e-07,0.3,95.66943133228433,50.60100852030087
0.92,15,0.8,1e-07,0.5,108.26688357290807,52.8467726922576
0.92,15,0.8,1e-07,0.7,105.59555875581158,55.85263350919235
0.92,15,0.8,1e-07,0.9,108.95627205732016,61.24513348625944
0.92,15,0.9,1e-07,0.1,65.15410121698622,48.402329747762785
