tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.7,"[0.5, 0.3]","[0.3, 0.3, 0.1]",4.157777777777778,1.7702088877228133,"{'200': 1.76667471783472, '400': 2.882498442510025, '600': 4.128183181495618, '800': 5.910174738101391, '1000': 7.616038643670272}","{'200': 7.158916565520583, '400': 6.741915077069546, '600': 9.922714222506258, '800': 12.998370342290928, '1000': 15.709365984562798}"
0.01,0.7,"[0.5, 0.5]","[0.3, 0.3, 0.1]",4.033333333333334,1.521560602364121,"{'200': 3.3052422057366107, '400': 5.277014659796999, '600': 6.068131807564695, '800': 6.862270964214012, '1000': 7.549303235488892}","{'200': 9.109567074172606, '400': 13.577786087797703, '600': 15.56041160548368, '800': 16.582587736282417, '1000': 17.729449966338716}"
0.01,0.7,"[0.5, 0.7]","[0.3, 0.3, 0.1]",4.0871111111111125,2.1291507145883544,"{'200': 5.691978400278293, '400': 9.570161261750457, '600': 10.017039623255137, '800': 10.29172946306644, '1000': 10.45362361077111}","{'200': 15.62498409983976, '400': 18.82706418086445, '600': 19.613788686914454, '800': 20.272732096560322, '1000': 20.77889659053327}"
0.01,0.7,"[0.5, 0.9]","[0.3, 0.3, 0.1]",3.647555555555556,1.449519699081282,"{'200': 4.225686271049122, '400': 7.886536966472977, '600': 9.954855573172376, '800': 11.133551453985405, '1000': 12.322644250671086}","{'200': 12.551894518669132, '400': 18.209964326484492, '600': 20.977502065536708, '800': 22.558725296535012, '1000': 23.692887600911416}"
0.01,0.7,"[0.7, 0.1]","[0.3, 0.3, 0.1]",3.625333333333333,1.7074654380754601,"{'200': 5.035894007040616, '400': 9.08439449589678, '600': 11.950735731897053, '800': 15.414342268095988, '1000': 17.576296034987955}","{'200': 15.2287051092253, '400': 20.261718400750027, '600': 23.704008490851336, '800': 27.32405753703988, '1000': 30.29267964837264}"
0.01,0.7,"[0.7, 0.3]","[0.3, 0.3, 0.1]",3.576000000000001,1.3263121804462175,"{'200': 3.136858032259466, '400': 9.692697651449624, '600': 11.996364604064516, '800': 13.706275863134378, '1000': 14.733848620212132}","{'200': 10.873974739116896, '400': 18.015142941816343, '600': 21.735961115599547, '800': 24.148096871524693, '1000': 25.71597617256431}"
0.01,0.7,"[0.7, 0.5]","[0.3, 0.3, 0.1]",3.683555555555556,1.6755564986734741,"{'200': 4.885395612452478, '400': 10.86526391013382, '600': 13.495344374104512, '800': 14.230890433857912, '1000': 14.940508543742018}","{'200': 13.857939905154632, '400': 20.29600272189813, '600': 23.36775005456313, '800': 24.40333743845003, '1000': 25.04908108367602}"
0.01,0.7,"[0.7, 0.7]","[0.3, 0.3, 0.1]",3.4862222222222234,1.5153720318990083,"{'200': 3.997813528541432, '400': 10.252606169774598, '600': 12.744491134356345, '800': 14.140117692238723, '1000': 15.51927500750737}","{'200': 12.153320834073929, '400': 19.880903043683126, '600': 22.98404985898292, '800': 24.788664887846533, '1000': 26.49715222174603}"
0.01,0.7,"[0.7, 0.9]","[0.3, 0.3, 0.1]",3.506222222222222,1.6711929057996455,"{'200': 6.464792553720605, '400': 9.342159084465372, '600': 11.708079728330747, '800': 15.350958897080138, '1000': 17.31900306009336}","{'200': 17.056698574642617, '400': 20.218022976212357, '600': 21.831688155565644, '800': 23.489456128489895, '1000': 25.539966850983106}"
0.01,0.7,"[0.9, 0.1]","[0.3, 0.3, 0.1]",4.170222222222224,1.7159985611090693,"{'200': 2.029940232159074, '400': 4.061423693293229, '600': 4.611899975499223, '800': 5.268381319640072, '1000': 5.884958782247361}","{'200': 9.757542584892397, '400': 17.061122166711275, '600': 18.24645932109202, '800': 19.025334741139975, '1000': 19.447072372321575}"
0.01,0.7,"[0.9, 0.3]","[0.3, 0.3, 0.1]",4.361777777777778,1.700529706870955,"{'200': 0.5569684997935846, '400': 1.469373183989996, '600': 2.2515147780845157, '800': 3.7638234247682174, '1000': 5.0079054976562425}","{'200': 0.5214689981160799, '400': 0.6220171304610946, '600': 2.703401925226967, '800': 6.75877081067843, '1000': 10.885317995989375}"
0.01,0.7,"[0.9, 0.5]","[0.3, 0.3, 0.1]",3.826666666666667,1.2234523102906605,"{'200': 0.6784615850764167, '400': 2.5339631231755853, '600': 3.006139192315467, '800': 3.8266070241959067, '1000': 4.560373915426912}","{'200': 0.7197704991329349, '400': 7.0126142807045895, '600': 7.881815116594506, '800': 9.203726936087062, '1000': 10.371712092492395}"
0.01,0.7,"[0.9, 0.7]","[0.3, 0.3, 0.1]",4.44888888888889,1.505023030052249,"{'200': 0.515748129262284, '400': 1.5033382861287496, '600': 2.925343028008867, '800': 4.20145794310642, '1000': 6.093947477196675}","{'200': 0.533380968411673, '400': 0.6038025079021077, '600': 7.015379701227461, '800': 10.055272052212423, '1000': 14.748859258207657}"
