tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.085,0.7,"[0.7, 0.3]","[0.3, 0.7, 0.7]",6.3428,1.693434584,"{'200': 0.12792583172025124, '400': 0.5565371383926535, '600': 1.4483366963447784, '800': 1.7379968789243994, '1000': 1.9125525610179945}","{'200': 0.25813959545998316, '400': 0.53729075796102, '600': 0.3299402203480531, '800': 0.2751224373152933, '1000': 0.2636511311508397}"
0.085,0.7,"[0.1, 0.9]","[0.3, 0.7, 0.9]",6.338,1.914493132,"{'200': 0.10856116120449737, '400': 0.5237228857600181, '600': 1.3737113349703232, '800': 1.7115098849383334, '1000': 1.9390904213144302}","{'200': 0.21826066419573445, '400': 0.5011718728504363, '600': 0.37023373351832667, '800': 0.26364161568887684, '1000': 0.3016783324742475}"
0.085,0.9,"[0.9, 0.3]","[0.3, 0.7, 0.5]",6.3348,1.877541655,"{'200': 0.13051272501109734, '400': 0.6527184067503926, '600': 1.5051906719741717, '800': 1.740678803835648, '1000': 1.8966688036928152}","{'200': 0.26099375861553037, '400': 0.5994363831408043, '600': 0.3729372360275544, '800': 0.2709966218792044, '1000': 0.2436549616933947}"
0.085,0.9,"[0.7, 0.9]","[0.3, 0.7, 0.5]",6.3332,1.774836233,"{'200': 0.14834642952317728, '400': 0.6369045989488552, '600': 1.4701856044298285, '800': 1.7460498222285536, '1000': 1.91206444715504}","{'200': 0.27095225165969367, '400': 0.5707746736650581, '600': 0.33714793539960103, '800': 0.29981121942052175, '1000': 0.3003839436807485}"
0.085,0.7,"[0.9, 0.5]","[0.3, 0.3, 0.5]",6.3268,1.740501191,"{'200': 0.10469719049160167, '400': 0.5670702690670401, '600': 1.4532395569771102, '800': 1.7555730302667045, '1000': 1.910457169303617}","{'200': 0.18552942017483356, '400': 0.49196060143663556, '600': 0.28434115977184765, '800': 0.24154988850306716, '1000': 0.23184285121131612}"
0.085,0.7,"[0.7, 0.9]","[0.3, 0.3, 0.3]",6.3224,2.089487574,"{'200': 0.11583903162469637, '400': 0.5451447073407143, '600': 1.3752477524060616, '800': 1.6955630045793748, '1000': 1.8879039025784}","{'200': 0.16782616467551534, '400': 0.46486776369271615, '600': 0.3465205783822415, '800': 0.26745346488730676, '1000': 0.25625901193755635}"
0.085,0.9,"[0.5, 0.1]","[0.3, 0.5, 0.5]",6.3216,1.898779023,"{'200': 0.1353037019133952, '400': 0.6573736766611424, '600': 1.3887760613941245, '800': 1.7036351880608247, '1000': 1.9471065200364643}","{'200': 0.29258588782953376, '400': 0.6008603012894818, '600': 0.43789575055992924, '800': 0.3316656014717187, '1000': 0.46356399332015863}"
0.085,0.9,"[0.3, 0.3]","[0.3, 0.3, 0.3]",6.3196,1.729147881,"{'200': 0.11003093219136625, '400': 0.5227665512943035, '600': 1.3681896839569263, '800': 1.692939402209082, '1000': 1.8810566120966663}","{'200': 0.20517783148722277, '400': 0.5115114501007876, '600': 0.3898975439819807, '800': 0.28478697084041515, '1000': 0.2674060130563401}"
0.085,0.7,"[0.7, 0.9]","[0.3, 0.3, 0.7]",6.3172,2.131995228,"{'200': 0.10238519637664685, '400': 0.5584030432677515, '600': 1.3590190904652328, '800': 1.6859655225120551, '1000': 1.8838727400369424}","{'200': 0.1331135826728805, '400': 0.4239400500213016, '600': 0.3665241978819745, '800': 0.3037574927746653, '1000': 0.2849222047227931}"
0.085,0.7,"[0.5, 0.7]","[0.3, 0.7, 0.5]",6.3136,2.22234773,"{'200': 0.1392759039625827, '400': 0.60308533004035, '600': 1.4179189992828165, '800': 1.7287050783247635, '1000': 1.8963440604752004}","{'200': 0.2803195945845191, '400': 0.5910055116045337, '600': 0.5262697957267112, '800': 0.34346842584401277, '1000': 0.2930477262738338}"
0.085,0.7,"[0.3, 0.3]","[0.3, 0.3, 0.3]",6.3104,1.734238168,"{'200': 0.10988184025513534, '400': 0.6891124136858229, '600': 1.4617446086257533, '800': 1.7315219936982813, '1000': 1.8921068216464259}","{'200': 0.19534665568100038, '400': 0.5691763202562866, '600': 0.3430586022098062, '800': 0.2561221052553967, '1000': 0.24625595877480483}"
0.085,0.7,"[0.7, 0.3]","[0.3, 0.5, 0.3]",6.3064,1.909834923,"{'200': 0.08546754502137364, '400': 0.5323725806449693, '600': 1.4226423132914634, '800': 1.7034060273217233, '1000': 1.896398882058302}","{'200': 0.1586192453633267, '400': 0.4877820128856127, '600': 0.3530150468135319, '800': 0.2600137030038053, '1000': 0.2349639286701922}"
0.085,0.7,"[0.3, 0.3]","[0.3, 0.3, 0.7]",6.306,1.98241155,"{'200': 0.10060640736988047, '400': 0.5732356414338904, '600': 1.4041482428061787, '800': 1.732010907378124, '1000': 1.8729373283965132}","{'200': 0.15845139811581854, '400': 0.5031259469949818, '600': 0.3909427153917858, '800': 0.26617509958604424, '1000': 0.2523312233470324}"
0.085,0.45,"[0.7, 0.9]","[0.3, 0.3, 0.9]",6.3052,1.746384823,"{'200': 0.14210789895548193, '400': 0.6655735904076201, '600': 1.4709477198175243, '800': 1.7737408142223559, '1000': 1.9586288984718276}","{'200': 0.26005604732389165, '400': 0.5499050889773348, '600': 0.26866867042552883, '800': 0.23721966674839243, '1000': 0.2277909777272454}"
0.085,0.9,"[0.5, 0.5]","[0.3, 0.7, 0.9]",6.3016,1.784510252,"{'200': 0.16972588311019707, '400': 0.7012561820704556, '600': 1.5212560256390268, '800': 1.829489900696644, '1000': 1.9967495347934043}","{'200': 0.33349955835733747, '400': 0.7091252948305774, '600': 0.3825500999128982, '800': 0.29672121029835385, '1000': 0.2685633823717937}"
