spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,15,0.6,1e-07,0.9,11.082222222222223,1.7836802016416493
0.92,15,0.7,1e-07,0.1,7.686222222222224,1.472858579450766
0.92,15,0.7,1e-07,0.3,9.800444444444445,1.9269849282182374
0.92,15,0.7,1e-07,0.5,10.168444444444445,2.1906609409090883
0.92,15,0.7,1e-07,0.7,10.779111111111112,2.1008060064040213
0.92,15,0.7,1e-07,0.9,10.634666666666668,1.7508824441787443
0.92,15,0.8,1e-07,0.1,8.232,2.068963884545971
0.92,15,0.8,1e-07,0.3,9.664000000000001,1.8940355505287296
0.92,15,0.8,1e-07,0.5,10.969777777777779,1.9418095671465132
0.92,15,0.8,1e-07,0.7,10.801333333333336,2.0493441769394316
0.92,15,0.8,1e-07,0.9,10.484000000000002,1.7309552918034081
0.92,15,0.9,1e-07,0.1,8.327111111111112,1.6332498240178448
0.92,15,0.9,1e-07,0.3,10.203111111111111,2.047545763669517
0.92,15,0.9,1e-07,0.5,10.97688888888889,1.7200721202221236
0.92,15,0.9,1e-07,0.7,11.222666666666669,1.8103927136888776
0.92,15,0.9,1e-07,0.9,10.530666666666667,1.5436153809950341
0.92,15,1.0,1e-07,0.1,9.28177777777778,2.015093368544152
0.92,15,1.0,1e-07,0.3,10.340444444444445,1.9068321088543758
0.92,15,1.0,1e-07,0.5,11.03866666666667,1.6555007298901039
